Family and Type,Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,900x300-900x300,2,0.000 m²,5.089 m²,,90.00°,0.75
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,850x500-850x350,1,1.722 m²,0.000 m²,Flat on Right and Left,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1000x1000-1700x400,2,7.001 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-400x350,1,2.023 m²,0.000 m²,Flat on Right,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-700x350,1,2.228 m²,0.000 m²,Flat on Top,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-800x200,1,2.133 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-800x350,1,2.304 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-850x500,2,5.054 m²,0.000 m²,Equal Taper,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1070x745-900x300,1,2.402 m²,0.000 m²,Flat on Bottom,,
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1200x1200-1000x1000,4,17.499 m²,0.000 m²,Equal Taper,,
'3: 21,,,,21,42.368 m²,11.634 m²,,,
M-H Flange Rectangular Bend Scale Radius: Scale Radius,Duct Wrap,25 mm,400x1700-400x1700,4,0.000 m²,7.917 m²,,90.00°,0.75
M_Rectangular Flanged Transition - Length: 600 mm,Duct Wrap,25 mm,1000x1000-1700x400,2,7.001 m²,0.000 m²,Equal Taper,,
'4: 6,,,,6,7.001 m²,7.917 m²,,,
Grand total: 118,,,,118,86.173 m²,58.911 m²,,,
